posted_date,occurrence_date,time,city,state,shape,duration,summary
11/15/21,11/6/21,20:25,Miramar,FL,Chevron,8 seconds,V-Shaped transparent craft flying over Miramar- dimly lit amber lights.
11/15/21,10/31/21,00:45,Naples,FL,Light,Unknown,Strange swirling light seen in the sky and video recorded by local news service.
11/15/21,10/28/21,19:45,Clearwater,FL,Light,5 minutes,Four orange/red lights flying in formation one minute apart.
11/15/21,11/20/15,16:00,Leesburg,FL,Sphere,30 seconds,I was checking traps in the swamp by my home. I was walking a game trail when went around a big oak tree.
10/19/21,10/10/21,22:05,Jacksonville,FL,Fireball,15 seconds,Saw 4 green fireballs falling close together. They were extremely close like the distance an airplane isafter takeoff/before landing. .
10/19/21,9/27/21,23:09,Miami,FL,Triangle,5 seconds,A triangular-shaped aircraft moved very smoothly from North to South. It had very dim lights on the front 2 sides of the triangle &gt;.
10/19/21,9/14/21,21:00,St. Petersburg,FL,Light,45 seconds,Two lights hovering and interacting in a controlled manner.
8/20/21,8/14/21,21:00,Fort Myers,FL,Triangle,30 minutes,My son calls me outside around 9pm it tells coming outside and look at all these object circling in the sky. The sky was partly cloudy.
8/16/21,8/10/21,22:50,Palm Beach Gardens,FL,Teardrop,At least 2 hours,Object stopped overhead without moving for over 2 hours.
8/16/21,7/22/21,08:00,Punta Gorda,FL,Cylinder,4 hours,Multiple Tic tac shape flying objects in a few hours.
8/16/21,7/16/21,05:40,Homestead,FL,Fireball,1 minute,Silent Ball of Light going at fast speeds.
8/16/21,7/10/21,00:15,Sarasota,FL,Disk,8 days,Many UFOs gathering in the night sky above Sarasota. Noticed 1 on 7/10/2021 and the sky has been full of them since.
8/16/21,6/12/21,00:00,Riverview,FL,Cylinder,6 sec,Object hovering then disappearing as seen from approximately one mile.
8/16/21,4/20/21,06:20,Pompano Beach,FL,Triangle,15 seconds,An unexpected triangular object with light flames surrounding it appeared near my balcony in Florida before heading out to sea.
8/16/21,3/11/21,18:30,Marathon,FL,Sphere,1 hour,Strange craft during sunset in the Florida Keys.
8/16/21,7/20/20,22:00,Marathon,FL,Light,1 minute at a time,Dim lights that appeared every night over Marathon Florida for a week moving mostly erratically than disappearing silently.
7/31/21,6/4/21,22:15,Land O'Lakes,FL,Light,15 minutes,Bright white circle craft that moved in bouncing figure 8 movements and pulsated different colors.
7/31/21,5/30/21,21:12,Jacksonville,FL,Oval,9 minutes,still craft hangs in sky flashing a sequence of three lights then falls out of the sky and vanishes.
7/31/21,1/1/16,23:00,Windermere,FL,Sphere,3-4 seconds,Fast ball of light.
7/31/21,9/28/81,21:30,Longwood,FL,Chevron,15 minutes,Huge Silent Chevron with all white lights surrounded by gas flying slow and low about 100 feet off ground for 15 minutes.
5/20/21,5/11/21,05:03,Atlantic Beach,FL,Unknown,Seems like an hour,I noticed the unidentified bright lights and vertically aligned squared shaped objects moving sporadically as seen on the security cam.
5/20/21,5/2/21,22:50,Clearwater Beach,FL,Formation,00:00:10,Two bright white object moving in high rate of speed and synchronized movements.
4/23/21,4/12/21,22:50,Coral Springs,FL,Oval,3 hours,Orbs zig zagging and circular patterns.
4/23/21,4/4/21,21:12,Port Charlotte,FL,Chevron,20 seconds,Chevron shaped craft with mirrored exterior traveling from sw to new portion of sky 1000ft above ground. Completely silent.
4/23/21,3/10/21,21:00,Cocoa Beach,FL,Sphere,1 minute,Red orb flying south from Cape Canaveral at slow spped then out to sea it flew.
3/31/21,3/25/21,06:20,Apollo Beach,FL,Chevron,Seconds,Saw a chevron shaped object move across the sky from South to North.
3/31/21,5/1/98,14:00,Ocala,FL,Cigar,4 minutes,Cigar shaped UFO turns at 60 degree angle and disappears in to upper sky in a nano (0.001) seconds without any sound.
3/2/21,1/28/21,06:00,odessa,FL,Sphere,5 hrs,Security camera captured a white sphere maintaining a steady altitude for hrs.
