posted_date,occurrence_date,time,city,state,shape,duration,summary
11/15/21,11/14/21,20:33,West Jordan,UT,Light,5 min,flashing green light zig zagging across the sky and making a humming noise as it flew over me.
11/15/21,11/12/21,20:15,West Hills,CA,Fireball,10 minutes,Multiple fast traveling fireballs in the night sky.
11/15/21,11/11/21,23:30,Fenton,MI,Circle,4 seconds,A triangular shape of 200 white transparent lights flew East in about 4 seconds.
11/15/21,11/10/21,21:30,not sure,CT,Unknown,1 second,Bright horizontal white lights.
11/15/21,11/9/21,20:25,Richfield,WI,Triangle,3 minutes,Black (TR-3B) Triangle shape 300 feet wide 20 feet thick 200 feet away.
11/15/21,11/9/21,20:00,Clemson,SC,Triangle,5 minutes,2 people witnessed a triangular-shaped UFO above a lake before disappearing completely.
11/15/21,11/7/21,21:52,Alexandria,VA,Circle,2-3 seconds,Unexplained round aerial object with no observable audible emissions observed.
11/15/21,11/7/21,20:00,Hubbard,PA,Triangle,40 seconds,Triangular SOLID craft.
11/15/21,11/7/21,02:00,Holland,MI,Cone,3-4 hours,Hi I'm ((name deleted)) 28 from holland I have a lot of info that needs to be discussed professionally and seriously under terms.
11/15/21,11/6/21,20:25,Miramar,FL,Chevron,8 seconds,V-Shaped transparent craft flying over Miramar- dimly lit amber lights.
11/15/21,11/6/21,19:29,Bayville,NJ,Triangle,1:00-1:30,Triangle shaped orange lights UFO(s) flew at the same time and speed in formation in Bayville NJ.
11/15/21,11/6/21,19:25,Longmont,CO,Light,Nightly,Bright light staying in same area of the sky; higher than airplanes moving in quick sporadic formations.
11/15/21,11/6/21,19:25,Longmont,CO,Light,Nightly,Bright light staying in same area of the sky; higher than airplanes moving in quick sporadic formations.
11/15/21,11/6/21,18:45,Lawrence,KS,Circle,10 minutes,Glowing orange orbs traveling across the night sky.
11/15/21,11/4/21,21:45,Jonesborough,TN,Triangle,1 minute,Orange object in sky.
11/15/21,11/4/21,19:00,St. Paul,NE,Triangle,2 hours,At dusk large triangle shaped object holding steady in night sky. Bright light at the point.
11/15/21,11/1/21,21:30,Palmer,MA,Cylinder,10 seconds,Green glow around cylinder object seen by two people before it took off.
11/15/21,10/31/21,21:25,Tucson,AZ,Sphere,1 minute,Halloween Night - burning bright orange UFO in the Southwest Desert.
11/15/21,10/31/21,00:45,Naples,FL,Light,Unknown,Strange swirling light seen in the sky and video recorded by local news service.
11/15/21,10/30/21,07:37,Janesville,WI,Other,2-3 minutes,Crescent like object that looks like a moon glowing was moving through the sky in a south to north direction.
11/15/21,10/29/21,23:00,Portland,OR,Circle,60 minutes,Round orb like had a hovering movement. A smaller piece separated from the bigger identical of the larger one.
11/15/21,10/29/21,19:00,Plymouth,NH,Light,10-20 minutes,Bright white light or orb moving dramatically.
11/15/21,10/29/21,16:10,Tyrone,CO,Unknown,15 seconds,Seen a strange object going east at a faster speed then normal. Silver chrome colored it turned and it just disappeared.
11/15/21,10/29/21,09:25,Soldotna,AK,Circle,3 minutes,Shiny metallic craft in morning sunlight.
11/15/21,10/28/21,19:45,Clearwater,FL,Light,5 minutes,Four orange/red lights flying in formation one minute apart.
11/15/21,10/27/21,19:50,Las Animas County,CO,Changing,~30 minutes,Seen light outside southwest. It started moving torward the north after a short time.
11/15/21,10/27/21,19:30,Murrells Inlet,SC,Light,5 minutes,White light with a blue shield scanning Murrells Inlet.
11/15/21,10/27/21,18:15,College Grove,TN,Unknown,1 minute,It was hovering and had one green light and one white light.
11/15/21,10/22/21,19:00,Hamilton,NJ,Circle,About an hour,Two round balls of light sitting in the sky.
11/15/21,10/11/21,18:40,Greenwich,CT,Rectangle,5 seconds,Large rectangular object flying low over the water.
11/15/21,9/21/21,10:00,San Francisco,CA,Unknown,3 minutes,Two pitch black rectangle objects hovering on top of fog bank over Brisbane hills.
11/15/21,11/20/15,16:00,Leesburg,FL,Sphere,30 seconds,I was checking traps in the swamp by my home. I was walking a game trail when went around a big oak tree.
11/15/21,8/8/10,16:30,Los Angeles,CA,Chevron,5 minutes,Gigantic partly cloaked DELTA WING CRAFT..
10/26/21,10/24/21,20:00,Stamford,CT,Other,2 minutes,Slight line movement without sound and lights/ strobes. Stamford CT.
10/26/21,10/23/21,06:20,West Suffield,CT,Other,5 seconds,Colored Dust or unknown object Goes by quickly and disappears in a instant.
10/26/21,10/21/21,20:05,Fort Worth,TX,Unknown,2 minutes,Low flying stationary craft with three green and white flashing lights.
10/26/21,10/21/21,19:00,Gulf Shores,AL,Light,10 minutes,Recorded video in Gulf Shores AL of strange light that multiplied into 5 lights or orbs.
10/26/21,10/20/21,20:00,Alamagordo,NM,Formation,>20-30 minutes,Golden lights spotted in the sky over white sands national park.
10/26/21,10/20/21,19:33,Mokena,IL,Sphere,10 minutes,About 12 glowing orbs flying about 1000 feet off the ground at a slow moving pace.
10/26/21,10/20/21,07:50,Ottawa,IL,Unknown,2-3 minutes,Robust contrail with no obvious traditional aircraft.
10/26/21,10/20/21,07:24,Milton,GA,Cigar,60 seconds,Cigar shaped craft with three lights blinking in a pattern hovering over new providence and Doris road in Milton GA.
10/26/21,10/15/21,15:45,Phoenix,AZ,Oval,5 minutes,Metallic spherical / star shaped craft seen while looking up towards south mountains in north Phoenix area in mid afternoon.
10/26/21,10/8/21,21:00,Ellisville,MO,Diamond,2 minutes,Red blue and green revolving lights moving in a straight line down and a quick 90 degree turn then vanished.
10/26/21,9/6/21,10:26,Indianapolis,IN,Cylinder,30 seconds,Former law enforcement officer reported slender black cigar-shaped object with 7 lights.
10/26/21,1/10/21,09:00,Festus,MO,Disk,5 minutes,Witnesses observed and photographed a silver disc-shaped object which maneuvered at high speed after hovering.
10/26/21,1/10/21,09:00,Festus,MO,Disk,5 minutes,Witness and a buddy were taking a walk in the woods near his house saw and photographed disc.
10/26/21,10/10/19,17:30,Farragut,TN,Other,90 seconds,We saw a boat like object speed off towards a very shallow cove and lift up and vanish behind trees. We looked for it and saw nothing.
10/26/21,6/1/98,11:00,"Wilmington, NC",NC,Other,3 minutes,((HOAX??)) Had encounter with nice alien in waste deep water with head size of fist and eye the size if silver dollar.
10/19/21,10/18/21,06:20,Springfield,MO,Light,3 minutes,I saw a star-sized light zig-zagging high in the dark morning sky.
10/19/21,10/17/21,16:48,Denver,CO,Changing,1 minute,Shape shifting black object with strange lights and reflections.
10/19/21,10/15/21,15:45,Phoenix,AZ,Oval,5 minutes,Metallic spherical / star shaped craft seen while looking up towards south mountains in north Phoenix area in mid afternoon.
10/19/21,10/14/21,21:00,Beverly Hills,CA,Flash,2-3 seconds,A bright green light with a teal light trail fell from the sky in a curve for about 2-3 seconds before it disappeared from view.
10/19/21,10/12/21,19:00,Labadieville,LA,Oval,2 minutes,Saw oval or round object. 4 extended pods.Previously saw same object in late 1960's.Had orange lights under the pedestal legs.
10/19/21,10/11/21,13:55,Georgetown,TX,Sphere,12 seconds,Bright white round object with a more dim object moving across blue sky East to West.
10/19/21,10/10/21,22:05,Jacksonville,FL,Fireball,15 seconds,Saw 4 green fireballs falling close together. They were extremely close like the distance an airplane isafter takeoff/before landing. .
10/19/21,10/10/21,22:00,Prospect,CT,Disk,10 minutes,10/10/21 at 22:00 I saw a large lit up object only 50’ above our car. Continued to keep flashing every minute until it slowed down.
10/19/21,10/9/21,14:47,Upper Marlboro,MD,Oval,3 hours,Jelly bean Shaped object flying erratically for about three hours in the sky.
10/19/21,10/9/21,13:23,Houston,TX,Oval,5 minutes,Stationary silver metallic oval object at high altitude during 2021 Houston Air Show.
10/19/21,10/8/21,17:45,Avoca,NY,Sphere,2 minutes,Sphere seen twice in close proximity and less than 6 months between the 2 sightings .
10/19/21,10/7/21,20:30,Hellertown,PA,Triangle,15-20 minutes,No stars in the sky. Object with 3 amber lights that did not move for 15-20 min. until it slowly disappeared in the sky.
10/19/21,10/7/21,20:24,Cincinnatus,NY,Triangle,30 seconds,triangular craft seen distorting star-field above and then leaving as a bright orange ball of light.
10/19/21,10/6/21,20:15,Prim,AR,Circle,10 minutes,Witnessed 6 round crafts with 3 symmetrical lights on the bottom of each hover just above the cabin.
10/19/21,10/2/21,20:15,Little River,NC,Light,45 minutes,Stationary bright white light.
10/19/21,9/30/21,20:30,Los Angeles,CA,Circle,10 seconds,Two bright star like objects wink out over Los Angeles.
10/19/21,9/27/21,23:09,Miami,FL,Triangle,5 seconds,A triangular-shaped aircraft moved very smoothly from North to South. It had very dim lights on the front 2 sides of the triangle &gt;.
10/19/21,9/27/21,20:05,Myrtle Beach,NC,Formation,30 Seconds,Three lights the size of stars circle each other in the sky.
10/19/21,9/26/21,07:00,Odessa,TX,Oval,3 hours,Oval light in the sky that didn’t move for about 3hours.
10/19/21,9/25/21,23:00,Joplin,MO,Disk,2 mins,7 disc shaped crafts one 2 separate occasions within a week seperated by 3 occurances on each night.
10/19/21,9/24/21,03:00,Fort Worth,TX,Triangle,5 min,Two triangular shaped craft accompanied by loud roaring sound seen traveling west to east.
10/19/21,9/21/21,22:05,SWOKC/Moore,OK,Sphere,5 seconds,Small sphere flew in curved pattern under small plane...accelerated until it faded out.
10/19/21,9/20/21,03:00,Wells,ME,Triangle,10 seconds,Loud TR3B style triangle UFO.
10/19/21,9/19/21,13:45,Toms River,NJ,Circle,2 seconds,Light orange colored disk traveling at rapid speed and low altitude.
10/19/21,9/16/21,23:30,Cherry Grove,SC,Sphere,30 seconds,Orange orb saw by three people that suddenly vanished away from us.
10/19/21,9/16/21,00:20,Brick,NJ,Sphere,5 mintes,Two reddish orange spheres very visible that travels as fast speeds.
10/19/21,9/14/21,21:00,St. Petersburg,FL,Light,45 seconds,Two lights hovering and interacting in a controlled manner.
10/19/21,9/13/21,21:00,Litchfield park,AZ,Circle,30,West valley sighting heading 270 out past the white tanks rotating stationary ball of multiply vibrant colors at high alt.
10/19/21,9/13/21,03:15,Apache Junction,AZ,Disk,Still happening,At about 15 miles distance we observed a huge saucer with multitudes of lights ascending and then disappearing into the craft.
10/19/21,9/10/21,23:30,Sweetwater,TX,Triangle,A few seconds,Triangular craft above Texas sky.
10/19/21,9/8/21,20:48,York,PA,Diamond,1 minute,Diamond-shaped object with lights seen flying over Interstate 83.
10/19/21,9/8/21,10:01,Oxford,CT,Oval,34 seconds,3 Bright Ovals scanned front to back and disappeared.
10/19/21,9/7/21,17:10,Randolph,MA,Sphere,20 seconds,Gold orbs racing down my street about 10 ft off ground.
10/19/21,9/3/21,21:44,Sterling,PA,Other,5 minutes,3 level yellow lights with 3 smaller blinking red lights below. back of triangle? tk 5 min to travel length of finger.15 mi. away.
10/19/21,8/30/21,11:04,Roswell,NM,Disk,1 minute,Photographed something I can not explain 8/30/2021 NW of Roswell NM.
10/19/21,7/4/21,21:00,San Juan Capistrano,CA,Changing,> 1 hour,Object stood still also moved all directions turning to fuzzy ball then back.
10/19/21,9/5/20,03:30,Asbury Park,NJ,Light,60 minutes,A technicolor arrangement of colors beaming from ufo for 60 minutes from 2:30 am-3:30 am the dates are estimates facts true.
10/19/21,8/29/20,20:19,Wolcott,CT,Fireball,3 minutes,Three fireball like objects were seen above our house before they quickly disappeared we captured them on photo and video.
10/19/21,5/1/14,14:00,Auburn,MI,Sphere,2 minutes,Dodgeball size sphere fell out of sky didn’t crash into ground and spun then shot straight up.
10/19/21,6/1/12,23:00,Yuma,AZ,Unknown,1 hour,Missing time - I can't account for how I got from my truck into a neighborhood 30 minutes away.
10/19/21,12/21/10,00:00,Dover,DE,Unknown,5010 minutes,Unknown craft seen overhead at Dover AFB at midnight on 12/21/2010 on Route 13 south.
10/19/21,7/9/05,13:00,Rancho Mirage,CA,Light,10 mins approx,Seen a bright light thought maybe was drone but the way it moved was nothing man-made and it split in 2.
9/7/21,9/4/21,22:30,Pittsburgh,PA,Sphere,2 minutes,Definitely not an aircraft.
9/7/21,9/4/21,18:30,Dover,PA,Sphere,20 minutes,Two formations of smaller objects came together to form two larger objects disappeared and reappeared miles away.
9/7/21,9/3/21,21:50,Hanover,PA,Light,20 minutes,Flickering light in a stationary position for close to 20 minutes in the Western sky from PA.
9/7/21,9/2/21,21:00,Athens,GA,Fireball,10 seconds,Pure white light flying in such a way that no earthly craft possibly could.
9/7/21,9/2/21,05:35,Gilbert,AZ,Cigar,1 minute,Ufo monitoring power grid and electricity.
9/7/21,8/29/21,05:39,Shoreline,WA,Light,1 minute,Bright light on object.
9/7/21,8/24/21,23:45,Hoffman Estates,IL,Teardrop,~15 minutes,Teardrop/tic-tac spotted with a greenish white tail as it vanished into thin air.
9/7/21,8/23/21,22:00,Boonton,NJ,Circle,10 minutes,Unexplained lights over New Jersey.
9/7/21,8/22/21,22:30,Osgood,IN,Light,5 minutes,Yellowish/orange Light seen by 3 people in South Eastern Indiana.
9/7/21,8/21/21,23:47,El Paso,TX,Circle,1 minute,1 ball turned into 2 balls.
9/7/21,8/20/21,23:50,Myrtle Beach,SC,Cigar,>5 minutes,Green object hovers then rapidly changes elevation and direction.
9/7/21,8/19/21,00:33,"Cape Coral, Fl",MD,Light,2 minutes,Lights appear and change color.
9/7/21,8/18/21,21:11,Newark,NJ,Sphere,3 seconds,It looked like a sphere surrounded by a fiery orange mist. Going North west. I spotted it over the Applebee’s restaurant.
9/7/21,8/16/21,02:00,Burbank,IL,Unknown,10 minutes,look up and said wow at the clouds and then i look at pictures and then I see them.
9/7/21,8/15/21,22:30,Corinth,NY,Rectangle,25 seconds,((HOAX)) Observing the 3 craft I think they want me to see that for my bday I'm a UFO alien but and starship fanatic .
9/7/21,8/11/21,22:00,Folsom,CA,Oval,3-4 minutes,Colorful disk appears in Northern California.
9/7/21,8/5/21,22:32,Bellevue,NE,Light,25,UFO near Offutt AFB in NE.
9/7/21,8/5/21,19:18,West Sayville,NY,Circle,5-6 minutes,Spinning silver object seen by two on a clear summer night.
9/7/21,7/14/21,03:00,Bishopville,SC,Light,20 minutes,Saw a star looking object darting back and forth between other stars at a rapid speed.
9/7/21,7/13/21,03:30,Tonopah,AZ,Light,3 hours,Seen about 10 ufos in Tonopah Arizona.
9/7/21,4/4/68,16:30,Gainesville,GA,Disk,15 sesconds,In 1968 a UFP communicated with me that Martin Luther KIng would die and he died four and a half hours later.
8/20/21,8/18/21,19:20,Charlotte,NC,Oval,45 Seconds,Oval shaped objects flying northwest to southeast at impossibly fast speeds for the altitude. 2 more objects at high altitudes circled.
8/20/21,8/17/21,01:10,Camden,AR,Unknown,~1 minute,A brightly lit UFO flitted high in the sky in rural south central AR.
8/20/21,8/15/21,14:45,Lords Valley,PA,Triangle,1 minute,black triangle heading west over pike county pa. during daytime with clear skies.
8/20/21,8/14/21,21:00,Fort Myers,FL,Triangle,30 minutes,My son calls me outside around 9pm it tells coming outside and look at all these object circling in the sky. The sky was partly cloudy.
8/16/21,8/15/21,17:00,Bethlehem,PA,Circle,5 Minutes,Bright silver object high in the sky moving slowly to the South East.
8/16/21,8/15/21,09:40,Staten Island,NY,Cigar,2min,Bright orb ufo next I pick up a huge cigar ufo no lights no sound the more I think about this craft the more it freaks me out.
8/16/21,8/14/21,18:00,Davis,CA,Oval,5 minutes,Oval shaped metallic object with two lights that appeared to move back and forth between the ends.
8/16/21,8/13/21,20:15,Shippensburg,PA,Light,15 seconds,Extremely bright white ball of light moving above tree tops less than 1/4 mile away. Made sudden movement. Disappeared and came back.
8/16/21,8/13/21,03:30,Santa Fe,NM,Triangle,15 seconds,Fast moving triangular craft observed through a third generation night vision scope while observing the Perseids meteor shower.
8/16/21,8/12/21,00:30,Princeton,KY,Unknown,5 minutes,Unknown object emitted yellowish-white light at regular intervals along west-east route in sky.
8/16/21,8/10/21,22:50,Palm Beach Gardens,FL,Teardrop,At least 2 hours,Object stopped overhead without moving for over 2 hours.
8/16/21,8/10/21,21:30,Supply,NC,Formation,2:00,Coordinated flashing lights entered and left the sky over a span of 2+ hours. They culminated into bright orange flashing lights once.
8/16/21,8/8/21,20:28,Boulder,CO,Sphere,2 min,Spikey Orb hovering. I thought it was a balloon. Came back and it was gone.
8/16/21,8/3/21,21:27,Staten Island New York,NY,Formation,1:43,3 craft in formation fly by the do a 180 phasing in and out of visibility I have a video.
8/16/21,8/2/21,20:45,Gilbert,AZ,Formation,3 Minutes,Light pattern simular to the Phoenix lights.
8/16/21,8/1/21,04:00,Greensboro,NC,Unknown,20 minutes,Close encounter/ Abduction in North Carolina bedroom.
8/16/21,7/31/21,21:30,Fremont,CA,Oval,30,Blue lights and sharp maneuvers.
8/16/21,7/31/21,15:00,San Antonio,TX,Circle,2hrs,4 orb white balls hovering in the sky over San Antonio TX.
8/16/21,7/28/21,10:41,Winthrop,ME,Light,10 seconds,Silent white light.
8/16/21,7/26/21,19:30,Phoenixville,PA,Cylinder,1 minute,Tic tac crafts passing each other as on two-lane highway in blue sky with puffy clouds.
